Product_id,Price,xy,Sale,weight,resoloution,ppi,cpu core,cpu freq,internal mem,ram,RearCam,Front_Cam,battery,thickness
64,7540,754,308,77.9,2.4,167,0,0,0.004,0.004,0,0,850,12.4
409,28800,2880,309,145,5.1,432,8,2.1,32,4,20,8,3200,7
637,28580,2858,309,174,5.7,513,4,1.875,32,4,16,5,3200,7.6
143,32870,3287,344,170,5.5,401,8,2,32,4,12,13,5000,8
143,32870,3287,367,170,5.5,401,8,2,32,4,12,13,5000,8
798,20540,2054,373,169,5.5,403,8,1.35,16,2,21,5,3630,10.9
460,17340,1734,378,118,4,245,4,1.2,4,0.512,5,2,1730,10.9
460,17340,1734,382,118,4,245,4,1.2,4,0.512,5,2,1730,10.9
798,20540,2054,385,169,5.5,403,8,1.35,16,2,21,5,3630,10.9
1327,20010,2001,393,194.8,5.7,258,4,1.2,16,2,8,1,3400,10.2
1327,20010,2001,399,194.8,5.7,258,4,1.2,16,2,8,1,3400,10.2
409,28800,2880,418,145,5.1,432,8,2.1,32,4,20,8,3200,7
1198,7050,705,423,110,2.2,128,0,0,0.128,0.032,2,0,900,15.6
1198,7050,705,427,110,2.2,128,0,0,0.128,0.032,2,0,900,15.6
1112,24910,2491,455,753,12.2,247,8,1.6,32,3,8,2,9500,8
1112,24910,2491,456,753,12.2,247,8,1.6,32,3,8,2,9500,8
696,24660,2466,499,154,5.5,534,4,2.7,32,3,13,2.1,3000,9.1
1089,13570,1357,523,165,4.66,200,4,1.2,0,0,5,0,2600,11.6
1089,13570,1357,564,165,4.66,200,4,1.2,0,0,5,0,2600,11.6
696,24660,2466,567,154,5.5,534,4,2.7,32,3,13,2.1,3000,9.1
497,22660,2266,599,112,5,294,8,1.4,8,1,8,8,1900,6.3
497,22660,2266,615,112,5,294,8,1.4,8,1,8,8,1900,6.3
301,24450,2445,616,183,5,294,4,1.3,32,3,8,5,4000,8.5
301,24450,2445,678,183,5,294,4,1.3,32,3,8,5,4000,8.5
857,31160,3116,996,153,5.5,401,8,1.5,64,4,13,16,3200,7.3
377,24090,2409,1009,160,5,441,4,2.3,32,2,4,5,2600,9.4
377,24090,2409,1043,160,5,441,4,2.3,32,2,4,5,2600,9.4
701,6280,628,1224,102.9,2.2,128,0,0,0.256,0.128,1.3,0,950,18.5
701,6280,628,1274,102.9,2.2,128,0,0,0.256,0.128,1.3,0,950,18.5
1161,25080,2508,1530,152,5.2,424,4,2.5,16,3,20.7,2.2,3100,7.3
1161,25080,2508,1584,152,5.2,424,4,2.5,16,3,20.7,2.2,3100,7.3
32,19210,1921,1781,179,6,184,4,1.3,8,1,13,8,2580,8
32,19210,1921,1862,179,6,184,4,1.3,8,1,13,8,2580,8
1137,31020,3102,2071,180,5.5,806,8,1.75,32,3,23,5.1,3430,7.8
1137,31020,3102,2088,180,5.5,806,8,1.75,32,3,23,5.1,3430,7.8
851,30550,3055,2106,158,5.5,401,4,1.875,64,6,16,8,3000,7.4
826,6140,614,2159,69.8,1.4,129,0,0,0,0.004,0,0,800,14.1
826,6140,614,2171,69.8,1.4,129,0,0,0,0.004,0,0,800,14.1
851,30550,3055,2173,158,5.5,401,4,1.875,64,6,16,8,3000,7.4
290,43610,4361,3248,238,5.7,515,8,1.95,128,6,12,8,7000,7.4
290,43610,4361,3291,238,5.7,515,8,1.95,128,6,12,8,7000,7.4
1131,25360,2536,3619,202,6,367,8,1.5,16,3,21.5,16,2700,8.4
1206,35510,3551,4408,178,5.46,538,4,1.875,128,6,12,16,4080,8.4
1206,35510,3551,4638,178,5.46,538,4,1.875,128,6,12,16,4080,8.4
1296,32110,3211,8016,170,5.5,534,4,1.975,128,6,20,8,3400,7.9
856,32600,3260,8809,150,5.5,401,8,2.2,64,4,20,20,3000,6.8
1296,32110,3211,8946,170,5.5,534,4,1.975,128,6,20,8,3400,7.9
1131,25360,2536,9807,202,6,367,8,1.5,16,3,21.5,16,2700,8.4
